Description,End Time,Facility Code,Participant Code,Reason,Start Time,Status,Number of Records,Outage MW,Outage Time Days,Outage Time Minutes,Recovery Time Minutes
a network outage in Denmark caused the windfarm to trip at 6:26 am,12/28/2017 10:00:00 AM,DNHR_DENMARK_WF1,DNHR,Consequential,12/28/2017 6:00:00 AM,Approved,1,1.44,0.166666667,0.000115741,0
Forced Outage - BS on Overhead line pole S-81 - CG10/11,12/26/2017 12:00:00 PM,COLLGAR_WF1,COLLGAR,Forced,12/26/2017 9:00:00 AM,Approved,1,30,0.125,8.680555556e-05,
Under generation - ambient conditions,12/31/2017 9:00:00 AM,AURICON_PNJ_U1,AURICON,Forced,12/31/2017 9:00:00 AM,Approved,1,5.703,0,0,0
Under generation - ambient conditions,12/31/2017 8:30:00 AM,AURICON_PNJ_U1,AURICON,Forced,12/31/2017 8:30:00 AM,Approved,1,5.085,0,0,0
Under generation - ambient conditions,12/31/2017 8:00:00 AM,AURICON_PNJ_U1,AURICON,Forced,12/31/2017 8:00:00 AM,Approved,1,5.02,0,0,0
Under generation - ambient conditions,12/30/2017 11:30:00 PM,AURICON_PNJ_U1,AURICON,Forced,12/30/2017 11:30:00 PM,Approved,1,5.79,0,0,0
Under generation - ambient conditions,12/30/2017 11:00:00 PM,AURICON_PNJ_U1,AURICON,Forced,12/30/2017 11:00:00 PM,Approved,1,5.412,0,0,0
Under generation - ambient conditions,12/30/2017 10:30:00 PM,AURICON_PNJ_U1,AURICON,Forced,12/30/2017 10:30:00 PM,Approved,1,4.735,0,0,0
Under generation - ambient conditions,12/29/2017 11:30:00 PM,AURICON_PNJ_U1,AURICON,Forced,12/29/2017 11:30:00 PM,Approved,1,4.245,0,0,0
Under generation - ambient conditions,12/29/2017 11:00:00 PM,AURICON_PNJ_U1,AURICON,Forced,12/29/2017 11:00:00 PM,Approved,1,3.962,0,0,0
Under generation - ambient conditions,12/29/2017 10:30:00 PM,AURICON_PNJ_U1,AURICON,Forced,12/29/2017 10:30:00 PM,Approved,1,4.036,0,0,0
Under generation - ambient conditions,12/28/2017 5:00:00 AM,AURICON_PNJ_U1,AURICON,Forced,12/28/2017 5:00:00 AM,Approved,1,4.472,0,0,0
Under generation - ambient conditions,12/28/2017 4:30:00 AM,AURICON_PNJ_U1,AURICON,Forced,12/28/2017 4:30:00 AM,Approved,1,4.112,0,0,0
Under generation - ambient conditions,12/27/2017 5:30:00 AM,AURICON_PNJ_U1,AURICON,Forced,12/27/2017 5:30:00 AM,Approved,1,4.088,0,0,0
Under generation - ambient conditions,12/27/2017 5:00:00 AM,AURICON_PNJ_U1,AURICON,Forced,12/27/2017 5:00:00 AM,Approved,1,3.414,0,0,0
Under generation - ambient conditions,12/27/2017 4:30:00 AM,AURICON_PNJ_U1,AURICON,Forced,12/27/2017 4:30:00 AM,Approved,1,3.594,0,0,0
Boiler feedpump capacity,12/30/2017 6:30:00 PM,MELK_G7,MELK,Forced,12/30/2017 6:30:00 PM,Approved,1,4,0,0,0
Rotary Air Heater seals,12/30/2017 6:30:00 PM,MELK_G7,MELK,Forced,12/30/2017 5:30:00 PM,Approved,1,4.721,0.041666667,2.893518519e-05,0
High silica restriction,1/1/2018 7:00:00 PM,MELK_G7,MELK,Forced,12/30/2017 7:30:00 PM,Approved,1,28.977,1.979166667,0.001374421,12
Turbine governor valve fault,12/30/2017 2:00:00 PM,MELK_G7,MELK,Forced,12/30/2017 1:00:00 PM,Approved,1,47.108,0.041666667,2.893518519e-05,12
High silica restriction,12/30/2017 11:30:00 AM,MELK_G7,MELK,Forced,12/29/2017 9:30:00 PM,Approved,1,39.108,0.583333333,0.000405093,12
Reduced generation capability,1/7/2018 9:30:00 PM,AURICON_PNJ_U1,AURICON,Forced,12/20/2017 5:00:00 PM,Approved,1,1,18.1875,0.012630208,
Deviation from resource plan,12/30/2017 4:00:00 PM,TIWEST_COG1,TRMOS,Forced,12/30/2017 4:00:00 PM,Approved,1,12.64,0,0,
Deviation from resource plan,12/27/2017 5:00:00 PM,TIWEST_COG1,TRMOS,Forced,12/27/2017 5:00:00 PM,Approved,1,21.29,0,0,
